DATASET,#TRAINING_RELEASES,%TRAINING_INSTANCES,CLASSIFIER,FEATURE_SELECTION,BALANCING,COST_SENSITIVE,PRECISION,RECALL,AREA_UNDER_ROC,KAPPA,TRUE_POSITIVES,FALSE_POSITIVES,TRUE_NEGATIVES,FALSE_NEGATIVES
BOOKKEEPER,4,77.38439306358381,IBk,None,None,None,0.6956521739130435,0.6153846153846154,0.8644636015325671,0.5889532638084203,32.0,14.0,247.0,20.0
BOOKKEEPER,4,77.38439306358381,RandomForest,BestFirst,None,None,0.6530612244897959,0.6153846153846154,0.8216180371352785,0.5632613040690879,32.0,17.0,244.0,20.0
BOOKKEEPER,4,77.38439306358381,NaiveBayes,BestFirst,None,None,0.8378378378378378,0.5961538461538461,0.9107721780135574,0.648006997375984,31.0,6.0,255.0,21.0
BOOKKEEPER,4,77.38439306358381,IBk,BestFirst,None,None,0.6181818181818182,0.6538461538461539,0.8400751547303271,0.5604407475424006,34.0,21.0,240.0,18.0
BOOKKEEPER,4,77.38439306358381,RandomForest,None,None,SensitiveLearning,0.35454545454545455,0.75,0.8311229000884174,0.33041308001833625,39.0,71.0,190.0,13.0
BOOKKEEPER,4,77.38439306358381,NaiveBayes,None,None,SensitiveLearning,0.8823529411764706,0.28846153846153844,0.9267241379310345,0.3843865046144537,15.0,2.0,259.0,37.0
BOOKKEEPER,4,77.38439306358381,IBk,None,None,SensitiveLearning,0.4266666666666667,0.6153846153846154,0.8644636015325671,0.3828362179587495,32.0,43.0,218.0,20.0
BOOKKEEPER,4,77.38439306358381,RandomForest,BestFirst,None,SensitiveLearning,0.2867132867132867,0.7884615384615384,0.8234600648393752,0.23382362498104528,41.0,102.0,159.0,11.0
BOOKKEEPER,4,77.38439306358381,NaiveBayes,BestFirst,None,SensitiveLearning,0.8378378378378378,0.5961538461538461,0.9107721780135574,0.648006997375984,31.0,6.0,255.0,21.0
BOOKKEEPER,4,77.38439306358381,IBk,BestFirst,None,SensitiveLearning,0.32075471698113206,0.6538461538461539,0.8400751547303271,0.2669789227166277,34.0,72.0,189.0,18.0
BOOKKEEPER,4,77.38439306358381,RandomForest,None,SMOTE,None,0.7333333333333333,0.6346153846153846,0.8250810492189803,0.622172033799307,33.0,12.0,249.0,19.0
BOOKKEEPER,4,77.38439306358381,NaiveBayes,None,SMOTE,None,0.8108108108108109,0.5769230769230769,0.9246979074565281,0.621933441626057,30.0,7.0,254.0,22.0
BOOKKEEPER,4,77.38439306358381,IBk,None,SMOTE,None,0.6956521739130435,0.6153846153846154,0.8644636015325671,0.5889532638084203,32.0,14.0,247.0,20.0
BOOKKEEPER,4,77.38439306358381,RandomForest,BestFirst,SMOTE,None,0.6538461538461539,0.6538461538461539,0.8137341585617448,0.5848806366047743,34.0,18.0,243.0,18.0
BOOKKEEPER,4,77.38439306358381,NaiveBayes,BestFirst,SMOTE,None,0.8333333333333334,0.5769230769230769,0.9111774241084586,0.6317647058823528,30.0,6.0,255.0,22.0
BOOKKEEPER,4,77.38439306358381,IBk,BestFirst,SMOTE,None,0.603448275862069,0.6730769230769231,0.8428013557323902,0.5591238819635186,35.0,23.0,238.0,17.0
BOOKKEEPER,4,77.38439306358381,RandomForest,None,SMOTE,SensitiveLearning,0.3305084745762712,0.75,0.793140288829944,0.2965948507499144,39.0,79.0,182.0,13.0
BOOKKEEPER,4,77.38439306358381,NaiveBayes,None,SMOTE,SensitiveLearning,0.3305084745762712,0.75,0.793140288829944,0.2965948507499144,39.0,79.0,182.0,13.0
BOOKKEEPER,4,77.38439306358381,IBk,None,SMOTE,SensitiveLearning,0.3305084745762712,0.75,0.793140288829944,0.2965948507499144,39.0,79.0,182.0,13.0
BOOKKEEPER,4,77.38439306358381,RandomForest,BestFirst,SMOTE,SensitiveLearning,0.74,0.7115384615384616,0.8131815502505158,0.6720796228391825,37.0,13.0,248.0,15.0
BOOKKEEPER,4,77.38439306358381,NaiveBayes,BestFirst,SMOTE,SensitiveLearning,0.74,0.7115384615384616,0.8131815502505158,0.6720796228391825,37.0,13.0,248.0,15.0
BOOKKEEPER,4,77.38439306358381,IBk,BestFirst,SMOTE,SensitiveLearning,0.74,0.7115384615384616,0.8131815502505158,0.6720796228391825,37.0,13.0,248.0,15.0
BOOKKEEPER,5,77.10306406685237,RandomForest,None,None,None,0.5714285714285714,0.3389830508474576,0.7761459938366718,0.35677022953860466,20.0,15.0,337.0,39.0
BOOKKEEPER,5,77.10306406685237,NaiveBayes,None,None,None,0.5555555555555556,0.0847457627118644,0.8378755778120185,0.1133675518857395,5.0,4.0,348.0,54.0
BOOKKEEPER,5,77.10306406685237,IBk,None,None,None,0.5555555555555556,0.423728813559322,0.7722457627118644,0.4071165250841482,25.0,20.0,332.0,34.0
BOOKKEEPER,5,77.10306406685237,RandomForest,BestFirst,None,None,0.5957446808510638,0.4745762711864407,0.758450500770416,0.4594950026301949,28.0,19.0,333.0,31.0
BOOKKEEPER,5,77.10306406685237,NaiveBayes,BestFirst,None,None,0.75,0.2033898305084746,0.802027157164869,0.2756332722811627,12.0,4.0,348.0,47.0
BOOKKEEPER,5,77.10306406685237,IBk,BestFirst,None,None,0.525,0.3559322033898305,0.7016082434514638,0.34868914898940745,21.0,19.0,333.0,38.0
BOOKKEEPER,5,77.10306406685237,RandomForest,None,None,SensitiveLearning,0.2713178294573643,0.5932203389830508,0.7376011171032357,0.2183541243593464,35.0,94.0,258.0,24.0
BOOKKEEPER,5,77.10306406685237,NaiveBayes,None,None,SensitiveLearning,0.45454545454545453,0.0847457627118644,0.8378755778120185,0.10235876528829317,5.0,6.0,346.0,54.0
BOOKKEEPER,5,77.10306406685237,IBk,None,None,SensitiveLearning,0.28735632183908044,0.423728813559322,0.7722457627118644,0.2067551266586248,25.0,62.0,290.0,34.0
BOOKKEEPER,5,77.10306406685237,RandomForest,BestFirst,None,SensitiveLearning,0.25333333333333335,0.6440677966101694,0.7584745762711864,0.1984779835481457,38.0,112.0,240.0,21.0
BOOKKEEPER,5,77.10306406685237,NaiveBayes,BestFirst,None,SensitiveLearning,0.7058823529411765,0.2033898305084746,0.802027157164869,0.2688333903523781,12.0,5.0,347.0,47.0
BOOKKEEPER,5,77.10306406685237,IBk,BestFirst,None,SensitiveLearning,0.21621621621621623,0.4067796610169492,0.7015119414483821,0.11678292115831758,24.0,87.0,265.0,35.0
BOOKKEEPER,5,77.10306406685237,RandomForest,None,SMOTE,None,0.5428571428571428,0.3220338983050847,0.7687788906009245,0.33294690470670113,19.0,16.0,336.0,40.0
BOOKKEEPER,5,77.10306406685237,NaiveBayes,None,SMOTE,None,0.65,0.22033898305084745,0.8387904468412943,0.27652861270716445,13.0,7.0,345.0,46.0
BOOKKEEPER,5,77.10306406685237,IBk,None,SMOTE,None,0.5555555555555556,0.423728813559322,0.7722457627118644,0.4071165250841482,25.0,20.0,332.0,34.0
BOOKKEEPER,5,77.10306406685237,RandomForest,BestFirst,SMOTE,None,0.6363636363636364,0.4745762711864407,0.7507944915254238,0.47990091812282937,28.0,16.0,336.0,31.0
BOOKKEEPER,5,77.10306406685237,NaiveBayes,BestFirst,SMOTE,None,0.6666666666666666,0.2033898305084746,0.8176280816640986,0.2621684788131288,12.0,6.0,346.0,47.0
BOOKKEEPER,5,77.10306406685237,IBk,BestFirst,SMOTE,None,0.4782608695652174,0.3728813559322034,0.7033416795069337,0.33546266599517566,22.0,24.0,328.0,37.0
BOOKKEEPER,5,77.10306406685237,RandomForest,None,SMOTE,SensitiveLearning,0.26356589147286824,0.576271186440678,0.7110217642526965,0.20510588917899636,34.0,95.0,257.0,25.0
BOOKKEEPER,5,77.10306406685237,NaiveBayes,None,SMOTE,SensitiveLearning,0.26356589147286824,0.576271186440678,0.7110217642526965,0.20510588917899636,34.0,95.0,257.0,25.0
BOOKKEEPER,5,77.10306406685237,IBk,None,SMOTE,SensitiveLearning,0.26356589147286824,0.576271186440678,0.7110217642526965,0.20510588917899636,34.0,95.0,257.0,25.0
BOOKKEEPER,5,77.10306406685237,RandomForest,BestFirst,SMOTE,SensitiveLearning,0.26666666666666666,0.6101694915254238,0.7136941448382126,0.21412450630054541,36.0,99.0,253.0,23.0
BOOKKEEPER,5,77.10306406685237,NaiveBayes,BestFirst,SMOTE,SensitiveLearning,0.26666666666666666,0.6101694915254238,0.7136941448382126,0.21412450630054541,36.0,99.0,253.0,23.0
BOOKKEEPER,5,77.10306406685237,IBk,BestFirst,SMOTE,SensitiveLearning,0.26666666666666666,0.6101694915254238,0.7136941448382126,0.21412450630054541,36.0,99.0,253.0,23.0
