@relation storm_trainingSet7.arff

@attribute SIZE numeric
@attribute LOC_ADDED numeric
@attribute AVG_LOC_ADDED numeric
@attribute MAX_LOC_ADDED numeric
@attribute LOC_REMOVED numeric
@attribute AVG_LOC_REMOVED numeric
@attribute MAX_LOC_REMOVED numeric
@attribute CHURN numeric
@attribute AVG_CHURN numeric
@attribute MAX_CHURN numeric
@attribute NUMBER_OF_REVISIONS numeric
@attribute NUMBER_OF_DEFECT_FIXES numeric
@attribute NUMBER_OF_AUTHORS numeric
@attribute IS_BUGGY {'YES','NO'}

@data
94,752,83.55555555555556,94,0,0.0,0,752,83.55555555555556,94,9,0,6,YES
29,232,25.77777777777778,29,0,0.0,0,232,25.77777777777778,29,9,0,6,YES
52,406,36.90909090909091,52,0,0.0,0,406,36.90909090909091,52,11,0,7,YES
43,348,38.666666666666664,43,4,0.4444444444444444,4,344,38.22222222222222,43,9,0,6,YES
195,1551,141.0,195,16,1.4545454545454546,8,1535,139.54545454545453,195,11,0,7,YES
243,1914,159.5,243,10,0.8333333333333334,4,1904,158.66666666666666,243,12,0,7,YES
28,224,24.88888888888889,28,0,0.0,0,224,24.88888888888889,28,9,0,6,YES
37,291,26.454545454545453,37,0,0.0,0,291,26.454545454545453,37,11,0,7,YES
64,519,51.9,64,2,0.2,2,517,51.7,64,10,0,7,YES
28,214,19.454545454545453,28,0,0.0,0,214,19.454545454545453,28,11,0,7,YES
265,2122,141.46666666666667,265,122,8.133333333333333,59,2000,133.33333333333334,265,15,0,7,YES
36,288,32.0,36,0,0.0,0,288,32.0,36,9,0,6,YES
51,393,35.72727272727273,51,0,0.0,0,393,35.72727272727273,51,11,0,7,YES
38,304,33.77777777777778,38,0,0.0,0,304,33.77777777777778,38,9,0,6,YES
52,416,46.22222222222222,52,0,0.0,0,416,46.22222222222222,52,9,0,6,YES
37,296,32.888888888888886,37,0,0.0,0,296,32.888888888888886,37,9,0,6,YES
46,370,33.63636363636363,46,2,0.18181818181818182,1,368,33.45454545454545,46,11,0,7,YES
113,901,81.9090909090909,113,2,0.18181818181818182,1,899,81.72727272727273,113,11,0,7,YES
36,294,26.727272727272727,36,6,0.5454545454545454,4,288,26.181818181818183,36,11,0,7,YES
116,936,72.0,116,8,0.6153846153846154,3,928,71.38461538461539,116,13,0,8,YES
89,712,79.11111111111111,89,0,0.0,0,712,79.11111111111111,89,9,0,6,YES
50,404,44.888888888888886,50,4,0.4444444444444444,4,400,44.44444444444444,50,9,0,6,YES
31,248,27.555555555555557,31,0,0.0,0,248,27.555555555555557,31,9,0,6,YES
98,797,72.45454545454545,99,8,0.7272727272727273,4,793,72.0909090909091,99,11,0,7,YES
26,208,23.11111111111111,26,0,0.0,0,208,23.11111111111111,26,9,0,6,YES
25,200,22.22222222222222,25,0,0.0,0,200,22.22222222222222,25,9,0,6,YES
40,320,35.55555555555556,40,0,0.0,0,320,35.55555555555556,40,9,0,6,YES
59,472,52.44444444444444,59,0,0.0,0,472,52.44444444444444,59,9,0,6,YES
36,288,32.0,36,0,0.0,0,288,32.0,36,9,0,6,YES
58,466,42.36363636363637,58,2,0.18181818181818182,1,464,42.18181818181818,58,11,0,7,YES
37,296,32.888888888888886,37,0,0.0,0,296,32.888888888888886,37,9,0,6,YES
268,2155,195.9090909090909,269,6,0.5454545454545454,4,2153,195.72727272727272,269,11,0,7,YES
70,570,51.81818181818182,70,50,4.545454545454546,25,520,47.27272727272727,70,11,0,7,YES
72,216,72.0,72,0,0.0,0,216,72.0,72,3,0,3,NO
993,608,20.266666666666666,356,101,3.3666666666666667,13,611,20.366666666666667,344,30,3,12,YES
155,307,34.111111111111114,139,19,2.111111111111111,19,288,32.0,120,9,1,5,YES
35,19,9.5,17,1,0.5,1,18,9.0,17,2,0,2,NO
47,19,9.5,17,0,0.0,0,19,9.5,17,2,0,2,NO
27,17,17.0,17,0,0.0,0,17,17.0,17,1,0,1,NO
301,883,33.96153846153846,154,195,7.5,28,704,27.076923076923077,132,26,0,9,YES
119,17,17.0,17,0,0.0,0,17,17.0,17,1,0,1,NO
153,17,17.0,17,0,0.0,0,17,17.0,17,1,0,1,NO
51,17,17.0,17,0,0.0,0,17,17.0,17,1,0,1,NO
51,17,17.0,17,0,0.0,0,17,17.0,17,1,0,1,NO
108,17,17.0,17,0,0.0,0,17,17.0,17,1,0,1,NO
46,17,17.0,17,0,0.0,0,17,17.0,17,1,0,1,NO
53,17,17.0,17,0,0.0,0,17,17.0,17,1,0,1,NO
436,17,17.0,17,0,0.0,0,17,17.0,17,1,0,1,NO
382,17,17.0,17,0,0.0,0,17,17.0,17,1,0,1,NO
30,17,17.0,17,0,0.0,0,17,17.0,17,1,0,1,NO
